time,open,high,low,close,volume
2025-07-16 07:50:00+00:00,148.883,148.92,148.871,148.905,646.0
2025-07-16 07:55:00+00:00,148.906,148.93,148.878,148.889,713.0
2025-07-16 08:00:00+00:00,148.89,148.902,148.823,148.844,1094.0
2025-07-16 08:05:00+00:00,148.843,148.87,148.828,148.866,564.0
2025-07-16 08:10:00+00:00,148.866,148.866,148.725,148.754,1139.0
2025-07-16 08:15:00+00:00,148.754,148.784,148.736,148.781,715.0
2025-07-16 08:20:00+00:00,148.78,148.808,148.763,148.788,607.0
2025-07-16 08:25:00+00:00,148.792,148.85,148.786,148.84,615.0
2025-07-16 08:30:00+00:00,148.842,148.894,148.84,148.888,625.0
2025-07-16 08:35:00+00:00,148.89,148.898,148.838,148.87,572.0
2025-07-16 08:40:00+00:00,148.872,148.874,148.83,148.849,675.0
2025-07-16 08:45:00+00:00,148.848,148.862,148.796,148.806,790.0
2025-07-16 08:50:00+00:00,148.805,148.855,148.802,148.838,607.0
2025-07-16 08:55:00+00:00,148.84,148.862,148.816,148.838,740.0
2025-07-16 09:00:00+00:00,148.838,148.889,148.826,148.829,761.0
2025-07-16 09:05:00+00:00,148.833,148.862,148.816,148.826,597.0
2025-07-16 09:10:00+00:00,148.826,148.836,148.782,148.784,475.0
2025-07-16 09:15:00+00:00,148.787,148.82,148.784,148.795,555.0
2025-07-16 09:20:00+00:00,148.796,148.798,148.742,148.763,437.0
2025-07-16 09:25:00+00:00,148.764,148.776,148.738,148.763,679.0
2025-07-16 09:30:00+00:00,148.763,148.771,148.723,148.738,762.0
2025-07-16 09:35:00+00:00,148.74,148.742,148.684,148.695,751.0
2025-07-16 09:40:00+00:00,148.696,148.706,148.662,148.695,635.0
2025-07-16 09:45:00+00:00,148.694,148.694,148.664,148.678,588.0
2025-07-16 09:50:00+00:00,148.678,148.697,148.654,148.677,624.0
2025-07-16 09:55:00+00:00,148.678,148.732,148.677,148.719,681.0
2025-07-16 10:00:00+00:00,148.718,148.74,148.687,148.688,628.0
2025-07-16 10:05:00+00:00,148.688,148.71,148.672,148.696,622.0
2025-07-16 10:10:00+00:00,148.698,148.728,148.686,148.696,461.0
2025-07-16 10:15:00+00:00,148.697,148.718,148.685,148.708,664.0
2025-07-16 10:20:00+00:00,148.71,148.726,148.696,148.722,639.0
2025-07-16 10:25:00+00:00,148.724,148.732,148.706,148.706,295.0
2025-07-16 10:30:00+00:00,148.706,148.709,148.66,148.664,422.0
2025-07-16 10:35:00+00:00,148.664,148.694,148.652,148.664,358.0
2025-07-16 10:40:00+00:00,148.667,148.67,148.65,148.664,318.0
2025-07-16 10:45:00+00:00,148.664,148.676,148.652,148.67,299.0
