time,open,high,low,close,volume
2025-07-16 07:55:00+00:00,1.1617,1.16188,1.16152,1.16186,596.0
2025-07-16 08:00:00+00:00,1.16186,1.16225,1.16185,1.16198,702.0
2025-07-16 08:05:00+00:00,1.16198,1.16216,1.16179,1.16182,377.0
2025-07-16 08:10:00+00:00,1.16183,1.16248,1.1618,1.1623,650.0
2025-07-16 08:15:00+00:00,1.16228,1.16231,1.16194,1.16206,444.0
2025-07-16 08:20:00+00:00,1.16204,1.16222,1.16202,1.16211,416.0
2025-07-16 08:25:00+00:00,1.1621,1.16232,1.1621,1.16224,407.0
2025-07-16 08:30:00+00:00,1.16223,1.16228,1.16208,1.16222,407.0
2025-07-16 08:35:00+00:00,1.1622,1.1622,1.16195,1.16196,349.0
2025-07-16 08:40:00+00:00,1.16196,1.16245,1.16192,1.16242,494.0
2025-07-16 08:45:00+00:00,1.16242,1.16258,1.16218,1.16222,407.0
2025-07-16 08:50:00+00:00,1.16222,1.16236,1.16216,1.16226,278.0
2025-07-16 08:55:00+00:00,1.16226,1.16256,1.16226,1.16256,677.0
2025-07-16 09:00:00+00:00,1.16256,1.16264,1.16218,1.16222,662.0
2025-07-16 09:05:00+00:00,1.1622,1.1624,1.16214,1.1622,408.0
2025-07-16 09:10:00+00:00,1.16221,1.16222,1.16199,1.16202,394.0
2025-07-16 09:15:00+00:00,1.16202,1.16208,1.16174,1.16195,499.0
2025-07-16 09:20:00+00:00,1.16196,1.16211,1.16181,1.16184,506.0
2025-07-16 09:25:00+00:00,1.16183,1.16208,1.16179,1.16184,498.0
2025-07-16 09:30:00+00:00,1.16184,1.16184,1.16146,1.16148,456.0
2025-07-16 09:35:00+00:00,1.16146,1.16185,1.16145,1.16181,357.0
2025-07-16 09:40:00+00:00,1.1618,1.16196,1.16178,1.16193,349.0
2025-07-16 09:45:00+00:00,1.16196,1.16203,1.16174,1.16176,463.0
2025-07-16 09:50:00+00:00,1.16176,1.16186,1.16132,1.16156,502.0
2025-07-16 09:55:00+00:00,1.16156,1.1618,1.16134,1.16156,486.0
2025-07-16 10:00:00+00:00,1.16156,1.1617,1.16145,1.16147,393.0
2025-07-16 10:05:00+00:00,1.16146,1.16165,1.1614,1.16142,395.0
2025-07-16 10:10:00+00:00,1.16139,1.16146,1.16132,1.16135,306.0
2025-07-16 10:15:00+00:00,1.16134,1.16138,1.16092,1.16103,477.0
2025-07-16 10:20:00+00:00,1.16104,1.16117,1.16093,1.16116,427.0
2025-07-16 10:25:00+00:00,1.16116,1.16134,1.16112,1.16132,189.0
